Target_E   Reached_E  Difference   Sweeps  TotalTime  Electrons  Dimension    J     K     B 
 0.0000     0.0000    0.0000       00100   005        1          0000000004   0.00  0.00  0.00
-0.2000    -0.1518   -0.0482       00100   005        1          0000000004   0.10  0.00  0.00
-0.4000    -0.3466   -0.0534       00100   005        1          0000000004   0.20  0.00  0.00
-0.6000    -0.5147   -0.0853       00100   005        1          0000000004   0.30  0.00  0.00
-0.8000    -0.0487   -0.7513       00100   005        1          0000000004   0.40  0.00  0.00
-1.0000    -0.9544   -0.0456       00100   005        1          0000000004   0.50  0.00  0.00
-1.2000    -1.0816   -0.1184       00100   005        1          0000000004   0.60  0.00  0.00
-1.4000    -1.0509   -0.3491       00100   005        1          0000000004   0.70  0.00  0.00
-1.6000    -1.2186   -0.3814       00100   005        1          0000000004   0.80  0.00  0.00
-1.8000    -1.6724   -0.1276       00100   005        1          0000000004   0.90  0.00  0.00
-2.0000    -1.5322   -0.4678       00100   005        1          0000000004   1.00  0.00  0.00
 0.0000     0.0000    0.0000       00100   005        1          0000000004   0.00  0.10  0.00
-0.2000    -0.1285   -0.0715       00100   005        1          0000000004   0.10  0.10  0.00
-0.4000    -0.2723   -0.1277       00100   005        1          0000000004   0.20  0.10  0.00
-0.6000    -0.5033   -0.0967       00100   005        1          0000000004   0.30  0.10  0.00
-0.8000    -0.7271   -0.0729       00100   005        1          0000000004   0.40  0.10  0.00
-1.0000    -0.9461   -0.0539       00100   005        1          0000000004   0.50  0.10  0.00
-1.2000    -1.1392   -0.0608       00100   005        1          0000000004   0.60  0.10  0.00
-1.4000    -1.3672   -0.0328       00100   005        1          0000000004   0.70  0.10  0.00
-1.6000    -1.4860   -0.1140       00100   005        1          0000000004   0.80  0.10  0.00
-1.8000    -1.6037   -0.1963       00100   005        1          0000000004   0.90  0.10  0.00
-2.0000    -1.9728   -0.0272       00100   005        1          0000000004   1.00  0.10  0.00
 0.0000     0.0000    0.0000       00100   005        1          0000000004   0.00  0.20  0.00
-0.2000    -0.1677   -0.0323       00100   005        1          0000000004   0.10  0.20  0.00
-0.4000    -0.3964   -0.0036       00100   005        1          0000000004   0.20  0.20  0.00
-0.6000    -0.5345   -0.0655       00100   005        1          0000000004   0.30  0.20  0.00
-0.8000    -0.7435   -0.0565       00100   005        1          0000000004   0.40  0.20  0.00
-1.0000    -0.9525   -0.0475       00100   005        1          0000000004   0.50  0.20  0.00
-1.2000    -0.8950   -0.3050       00100   005        1          0000000004   0.60  0.20  0.00
-1.4000    -1.3049   -0.0951       00100   005        1          0000000004   0.70  0.20  0.00
-1.6000    -1.1413   -0.4587       00100   005        1          0000000004   0.80  0.20  0.00
-1.8000    -1.6753   -0.1247       00100   005        1          0000000004   0.90  0.20  0.00
-2.0000    -1.7550   -0.2450       00100   005        1          0000000004   1.00  0.20  0.00
 0.0000     0.0000    0.0000       00100   005        1          0000000004   0.00  0.30  0.00
-0.2000    -0.1438   -0.0562       00100   005        1          0000000004   0.10  0.30  0.00
-0.4000    -0.3586   -0.0414       00100   005        1          0000000004   0.20  0.30  0.00
-0.6000    -0.3639   -0.2361       00100   005        1          0000000004   0.30  0.30  0.00
-0.8000    -0.7269   -0.0731       00100   005        1          0000000004   0.40  0.30  0.00
-1.0000    -0.9488   -0.0512       00100   005        1          0000000004   0.50  0.30  0.00
-1.2000    -0.3419   -0.8581       00100   005        1          0000000004   0.60  0.30  0.00
-1.4000    -1.2390   -0.1610       00100   005        1          0000000004   0.70  0.30  0.00
-1.6000    -1.2958   -0.3042       00100   005        1          0000000004   0.80  0.30  0.00
-1.8000    -1.5542   -0.2458       00100   005        1          0000000004   0.90  0.30  0.00
-2.0000    -1.9671   -0.0329       00100   005        1          0000000004   1.00  0.30  0.00
 0.0000     0.0000    0.0000       00100   005        1          0000000004   0.00  0.40  0.00
-0.2000    -0.1749   -0.0251       00100   005        1          0000000004   0.10  0.40  0.00
-0.4000    -0.3638   -0.0362       00100   005        1          0000000004   0.20  0.40  0.00
-0.6000    -0.2608   -0.3392       00100   005        1          0000000004   0.30  0.40  0.00
-0.8000    -0.7668   -0.0332       00100   005        1          0000000004   0.40  0.40  0.00
-1.0000    -0.6062   -0.3938       00100   005        1          0000000004   0.50  0.40  0.00
-1.2000    -0.9920   -0.2080       00100   005        1          0000000004   0.60  0.40  0.00
-1.4000    -1.2953   -0.1047       00100   005        1          0000000004   0.70  0.40  0.00
-1.6000    -1.3080   -0.2920       00100   005        1          0000000004   0.80  0.40  0.00
-1.8000    -1.1497   -0.6503       00100   005        1          0000000004   0.90  0.40  0.00
-2.0000    -1.9599   -0.0401       00100   005        1          0000000004   1.00  0.40  0.00
 0.0000     0.0000    0.0000       00100   005        1          0000000004   0.00  0.50  0.00
-0.2000    -0.1489   -0.0511       00100   005        1          0000000004   0.10  0.50  0.00
-0.4000    -0.3961   -0.0039       00100   005        1          0000000004   0.20  0.50  0.00
-0.6000    -0.5631   -0.0369       00100   005        1          0000000004   0.30  0.50  0.00
-0.8000    -0.6824   -0.1176       00100   005        1          0000000004   0.40  0.50  0.00
-1.0000    -0.5722   -0.4278       00100   005        1          0000000004   0.50  0.50  0.00
-1.2000    -1.0058   -0.1942       00100   005        1          0000000004   0.60  0.50  0.00
-1.4000    -1.1819   -0.2181       00100   005        1          0000000004   0.70  0.50  0.00
